"id", "name", "isHighlight", "primaryImage", "link", "countryId", "departmentId", "accessionYear"
1, "Acorn Clock", False, "https://images.metmuseum.org/CRDImages/ad/original/204788.jpg", "https://www.metmuseum.org/art/collection/search/34", 1, 1, 1970
2, "Figure of Admiral George Rodney", False, "https://images.metmuseum.org/CRDImages/ad/original/DP247752.jpg", "https://www.metmuseum.org/art/collection/search/37", 2, 1, 1938
3, "Figure of Admiral Samuel Hood", False, "https://images.metmuseum.org/CRDImages/ad/original/DP247753.jpg", "https://www.metmuseum.org/art/collection/search/38", 2, 1, 1938
4, "Advertisement for Norwich Stone Ware Factory", False, "https://images.metmuseum.org/CRDImages/ad/original/37808.jpg", "https://www.metmuseum.org/art/collection/search/39", 1, 1, 1918
5, "Ale Glass", False, "https://images.metmuseum.org/CRDImages/ad/original/174118.jpg", "https://www.metmuseum.org/art/collection/search/40", 1, 1, 1946
6, "Andiron", False, "https://images.metmuseum.org/CRDImages/ad/original/172134.jpg", "https://www.metmuseum.org/art/collection/search/42", 1, 1, 1960
7, "Apothecary Jar", False, "https://images.metmuseum.org/CRDImages/ad/original/117342.jpg", "https://www.metmuseum.org/art/collection/search/124", 4, 1, 1938
8, "Figure of an Apple", False, "https://images.metmuseum.org/CRDImages/ad/original/138290.jpg", "https://www.metmuseum.org/art/collection/search/126", 2, 1, 1946
9, "Architectural elements from a Retiring Room in the North Family Dwelling American, New Lebanon, New York", False, "https://images.metmuseum.org/CRDImages/ad/original/DP263972.jpg", "https://www.metmuseum.org/art/collection/search/134", 1, 1, 1972
10, "Argand Lamp", False, "https://images.metmuseum.org/CRDImages/ad/original/ADA3642.jpg", "https://www.metmuseum.org/art/collection/search/139", 2, 1, 1967
11, "Three-legged Armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/11954.jpg", "https://www.metmuseum.org/art/collection/search/143", 2, 1, 1910
12, "Turned Armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/118611.jpg", "https://www.metmuseum.org/art/collection/search/145", 1, 1, 1910
13, "Banister-back armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/DT241037.jpg", "https://www.metmuseum.org/art/collection/search/147", 1, 1, 1910
14, "Armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/85W_ACF3137R3.jpg", "https://www.metmuseum.org/art/collection/search/148", 1, 1, 1910
15, "Slat-back armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/85B_ACF110R13.jpg", "https://www.metmuseum.org/art/collection/search/151", 1, 1, 1910
16, "Cane armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/11897.jpg", "https://www.metmuseum.org/art/collection/search/171", 2, 1, 1910
17, "Spindle-back armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/DT235352.jpg", "https://www.metmuseum.org/art/collection/search/174", 1, 1, 1910
18, "Turned armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/85B_ACF101BR10.jpg", "https://www.metmuseum.org/art/collection/search/193", 1, 1, 1941
19, "Splat-back armchair", False, "https://images.metmuseum.org/CRDImages/ad/original/DT280515.jpg", "https://www.metmuseum.org/art/collection/search/203", 1, 1, 1952
20, "Teapot", False, "https://images.metmuseum.org/CRDImages/ad/original/DP157653.jpg", "https://www.metmuseum.org/art/collection/search/205", 1, 1, 2006
