id,idEntity,impressionTotal,descriptionInformative,visualFeedback
1,1,5,7,4
2,1,3,8,2
3,1,9,9,7
4,1,6,6,4
5,1,5,5,4
6,1,7,8,7
7,1,6,9,5
8,1,3,9,2
9,1,6,6,3
10,1,5,5,4
11,1,3,9,3
12,1,5,5,4
13,1,9,9,7
14,1,6,9,4
15,1,4,9,3
16,1,4,7,2
17,1,5,5,5
18,1,9,9,2
19,1,4,7,3
20,1,9,9,2
21,1,6,6,7
22,1,7,8,7
23,1,5,9,5
24,1,7,6,7
25,1,8,9,5
26,1,4,5,3
27,1,5,9,5
28,1,6,9,6
29,1,4,6,4
30,1,5,6,3
31,1,5,9,4
32,1,7,7,5
33,1,8,9,5
34,1,7,9,7
35,1,6,8,2
36,1,9,9,7
37,1,4,9,3
38,1,4,5,2
39,1,7,9,3
40,1,6,6,3
41,1,8,8,6
42,1,7,7,7
43,1,2,5,2
44,1,5,5,5
45,1,5,5,5
46,1,6,6,6
47,1,8,8,6
48,1,7,8,5
49,1,5,7,3
50,1,4,8,3
51,1,6,5,6
52,1,3,6,3
53,1,3,9,3
54,1,7,9,7
55,1,7,7,7
56,1,4,5,4
57,1,6,6,4
58,1,8,8,7
59,1,6,5,6
60,1,6,7,6
61,1,8,9,7
62,1,3,7,3
63,1,7,8,7
64,1,2,7,2
65,1,2,8,2
66,1,6,9,4
67,1,2,5,2
68,1,6,6,3
69,1,6,6,5
70,1,7,7,5
71,1,6,9,6
72,1,6,9,4
73,1,8,8,7
74,1,2,5,2
75,1,6,5,7
76,1,4,6,4
77,1,8,8,4
78,1,5,5,5
79,1,9,9,7
80,1,9,9,6
81,1,4,5,4
82,1,6,9,5
83,1,6,9,3
84,1,6,7,6
85,1,8,8,6
86,1,5,7,3
87,1,7,5,7
88,1,4,7,2
89,1,4,8,4
90,1,3,5,3
91,1,3,5,2
92,1,6,8,5
93,1,5,6,2
94,1,5,9,4
95,1,3,8,2
96,1,5,6,5
97,1,2,6,2
98,1,5,5,4
99,1,6,6,7
100,1,4,5,2
101,1,9,9,4
102,1,6,5,7
103,1,6,5,7
104,1,8,9,7
105,1,7,6,7
106,1,6,8,4
107,1,4,5,3
108,1,7,5,7
109,1,5,6,5
110,1,8,9,7
111,1,8,9,5
112,1,6,6,7
113,1,6,7,6
114,1,8,8,7
115,1,4,7,4
116,1,8,9,4
117,1,6,8,2
118,1,5,5,5
119,1,4,8,3
120,1,6,9,3
121,1,7,7,2
122,1,7,7,3
123,1,8,8,7
124,1,8,9,2
125,1,3,6,2
126,1,5,6,4
127,1,5,6,5
128,1,7,5,7
129,1,4,6,3
130,1,4,5,4
131,1,8,9,7
132,1,6,8,5
133,1,3,6,2
134,1,7,9,4
135,1,4,6,3
136,1,5,5,5
137,1,4,5,4
138,1,9,9,5
139,1,6,9,2
140,1,4,9,3
141,1,4,6,4
142,1,9,9,7
143,1,5,5,6
144,1,5,6,5
145,1,5,6,3
146,1,6,6,7
147,1,5,6,4
148,1,6,5,7
149,1,6,6,3
150,1,7,6,7
151,1,8,8,7
152,1,5,5,4
153,1,8,8,7
154,1,4,6,4
155,1,5,8,5
156,1,6,6,5
157,1,6,6,6
158,1,7,7,4
159,1,6,6,6
160,1,9,9,7
161,1,6,6,2
162,1,4,6,3
163,1,5,9,4
164,1,7,7,7
165,1,7,7,3
166,1,4,7,4
167,1,6,6,6
168,1,8,8,7
169,1,5,6,4
170,1,8,8,7
171,1,6,7,6
172,1,5,5,3
173,1,3,7,2
174,1,7,8,6
175,1,3,8,3
176,1,4,5,3
177,1,5,5,5
178,1,5,9,5
179,1,7,7,6
180,1,7,7,5
181,1,6,6,7
182,1,6,7,4
183,1,6,8,4
184,1,7,9,7
185,1,6,6,5
186,1,7,5,7
187,1,6,5,7
188,1,6,9,3
189,1,7,7,6
190,1,5,6,2
191,1,4,9,4
192,1,5,5,4
193,1,5,7,2
194,1,5,5,6
195,1,6,5,6
196,1,7,6,7
197,1,6,8,6
198,1,6,6,6
199,1,6,5,7
200,1,7,7,7
201,1,6,6,6
202,1,8,8,3
203,1,6,7,3
204,1,8,9,2
205,1,5,6,5
206,1,4,5,4
207,1,6,8,5
208,1,6,5,7
209,1,8,8,5
210,1,5,5,7
211,1,6,7,5
212,1,7,8,7
213,1,5,8,3
214,1,5,5,3
215,1,7,7,7
216,1,6,6,6
217,1,5,5,6
218,1,5,5,7
219,1,6,6,7
220,1,8,8,5
221,1,4,7,3
222,1,8,9,6
223,1,2,8,2
224,1,5,6,3
225,1,6,9,2
226,1,7,9,6
227,1,8,8,6
228,1,6,6,7
229,1,7,9,4
230,1,4,7,3
231,1,7,7,6
232,1,9,9,5
233,1,3,6,3
234,1,5,9,5
235,1,6,9,2
236,1,2,7,2
237,1,7,8,5
238,1,8,8,4
239,1,4,7,4
240,1,6,5,6
241,1,7,8,7
242,1,4,7,2
243,1,5,5,7
244,1,5,9,5
245,1,8,9,4
246,1,8,9,7
247,1,7,7,3
248,1,7,9,2
249,1,4,5,3
250,1,5,8,4
251,1,2,6,2
252,1,6,7,6
253,1,6,6,4
254,1,6,8,2
255,1,7,8,5
256,1,6,7,3
257,1,7,7,7
258,1,8,9,6
259,1,8,8,7
260,1,8,8,6
261,1,7,8,5
262,1,7,9,6
263,1,5,5,5
264,1,4,7,4
265,1,7,7,7
266,1,7,5,7
267,1,4,7,2
268,1,6,5,6
269,1,9,9,2
270,1,7,5,7
271,1,3,5,3
272,1,5,7,4
273,1,5,6,2
274,1,6,6,6
275,1,8,8,6
276,1,6,5,6
277,1,6,8,6
278,1,8,8,6
279,1,6,6,5
280,1,7,9,7
281,1,6,8,4
282,1,7,7,6
283,1,5,9,2
284,1,6,6,3
