id, idEntity, restorationStart, restorationEnd
1, 1 ,"1990-08-21 00:00:00", "1990-05-24 00:00:00"
2, 2 ,"2003-07-02 00:00:00", "2006-02-16 00:00:00"
3, 3 ,"1976-08-03 00:00:00", "1977-07-12 00:00:00"
4, 4 ,"1995-10-15 00:00:00", "2005-03-25 00:00:00"
5, 5 ,"1950-06-06 00:00:00", "1960-12-10 00:00:00"
6, 6 ,"1981-09-04 00:00:00", "1986-02-28 00:00:00"
7, 7 ,"1938-04-11 00:00:00", "1942-08-02 00:00:00"
8, 8 ,"1949-02-14 00:00:00", "1952-01-04 00:00:00"
9, 8 ,"1972-04-14 00:00:00", "1980-11-23 00:00:00"
10, 9 ,"1988-03-18 00:00:00", "1992-02-11 00:00:00"
11, 10 ,"1995-07-16 00:00:00", "2005-08-14 00:00:00"
12, 11 ,"2021-03-14 00:00:00", "2028-05-22 00:00:00"
13, 12 ,"2013-10-30 00:00:00", "2018-10-25 00:00:00"
14, 13 ,"1992-08-03 00:00:00", "1996-10-02 00:00:00"
15, 14 ,"1950-04-23 00:00:00", "1956-01-09 00:00:00"
16, 15 ,"1959-04-21 00:00:00", "1966-05-02 00:00:00"
17, 16 ,"1997-01-27 00:00:00", "2005-01-07 00:00:00"
18, 17 ,"2016-06-04 00:00:00", "2021-08-28 00:00:00"
19, 18 ,"1989-10-30 00:00:00", "1996-12-18 00:00:00"
20, 19 ,"1976-05-31 00:00:00", "1980-06-18 00:00:00"
21, 20 ,"2022-08-17 00:00:00", "2032-11-19 00:00:00"
22, 21 ,"1991-08-29 00:00:00", "2000-04-13 00:00:00"
23, 21 ,"2022-07-15 00:00:00", "2027-11-20 00:00:00"
24, 22 ,"1986-08-07 00:00:00", "1990-07-01 00:00:00"
25, 23 ,"2002-05-14 00:00:00", "2005-05-26 00:00:00"
26, 24 ,"1965-11-16 00:00:00", "1974-08-08 00:00:00"
27, 24 ,"2019-08-14 00:00:00", "2025-11-09 00:00:00"
28, 25 ,"2005-01-13 00:00:00", "2011-04-13 00:00:00"
29, 26 ,"2016-06-07 00:00:00", "2018-06-01 00:00:00"
30, 27 ,"1980-05-01 00:00:00", "1984-05-26 00:00:00"
31, 28 ,"2011-09-21 00:00:00", "2021-08-25 00:00:00"
32, 29 ,"1983-10-23 00:00:00", "1987-05-08 00:00:00"
33, 30 ,"1981-05-17 00:00:00", "1986-03-06 00:00:00"
34, 31 ,"1992-02-13 00:00:00", "1995-03-24 00:00:00"
35, 32 ,"1964-10-05 00:00:00", "1966-03-03 00:00:00"
36, 33 ,"1944-08-31 00:00:00", "1950-02-17 00:00:00"
37, 34 ,"2006-10-23 00:00:00", "2010-04-05 00:00:00"
38, 35 ,"2017-11-28 00:00:00", "2017-06-28 00:00:00"
39, 36 ,"1961-11-03 00:00:00", "1965-10-18 00:00:00"
40, 37 ,"1990-11-24 00:00:00", "1998-01-19 00:00:00"
41, 38 ,"1949-02-14 00:00:00", "1951-05-20 00:00:00"
42, 39 ,"1984-01-13 00:00:00", "1992-07-24 00:00:00"
43, 40 ,"2020-04-20 00:00:00", "2026-08-24 00:00:00"
44, 41 ,"1987-05-30 00:00:00", "1996-07-27 00:00:00"
45, 42 ,"1924-08-21 00:00:00", "1930-03-12 00:00:00"
46, 43 ,"1999-08-20 00:00:00", "2001-08-11 00:00:00"
47, 44 ,"1995-06-03 00:00:00", "1995-08-26 00:00:00"
48, 45 ,"1935-05-20 00:00:00", "1939-03-06 00:00:00"
49, 46 ,"1941-04-05 00:00:00", "1950-11-12 00:00:00"
50, 47 ,"1969-05-22 00:00:00", "1978-05-12 00:00:00"
51, 48 ,"1985-03-20 00:00:00", "1985-02-24 00:00:00"
52, 49 ,"1997-10-29 00:00:00", "1999-05-05 00:00:00"
53, 50 ,"1923-01-03 00:00:00", "1924-12-18 00:00:00"
54, 51 ,"1952-02-11 00:00:00", "1962-03-25 00:00:00"
55, 52 ,"2017-12-12 00:00:00", "2021-04-03 00:00:00"
56, 53 ,"2003-07-10 00:00:00", "2010-10-22 00:00:00"
57, 54 ,"1938-02-16 00:00:00", "1948-06-28 00:00:00"
58, 55 ,"1991-07-04 00:00:00", "1997-04-11 00:00:00"
59, 56 ,"2020-11-01 00:00:00", "2029-10-25 00:00:00"
60, 57 ,"2016-08-28 00:00:00", "2025-10-28 00:00:00"
61, 58 ,"1940-10-06 00:00:00", "1949-12-11 00:00:00"
62, 59 ,"1892-09-07 00:00:00", "1897-10-05 00:00:00"
63, 60 ,"1886-08-25 00:00:00", "1888-09-03 00:00:00"
64, 61 ,"1909-03-28 00:00:00", "1914-04-16 00:00:00"
65, 62 ,"2003-06-26 00:00:00", "2009-06-17 00:00:00"
66, 63 ,"1937-12-08 00:00:00", "1943-09-09 00:00:00"
67, 64 ,"2002-10-30 00:00:00", "2003-08-10 00:00:00"
68, 65 ,"2019-07-22 00:00:00", "2020-08-11 00:00:00"
69, 66 ,"2004-12-31 00:00:00", "2014-09-02 00:00:00"
70, 67 ,"1942-09-09 00:00:00", "1950-06-25 00:00:00"
71, 69 ,"2022-09-08 00:00:00", "2025-01-06 00:00:00"
72, 70 ,"2007-02-25 00:00:00", "2015-12-05 00:00:00"
73, 71 ,"2013-11-05 00:00:00", "2023-06-13 00:00:00"
74, 72 ,"1935-01-14 00:00:00", "1938-11-08 00:00:00"
75, 73 ,"2021-12-27 00:00:00", "2030-07-23 00:00:00"
76, 74 ,"2018-12-20 00:00:00", "2027-07-06 00:00:00"
77, 75 ,"1974-05-09 00:00:00", "1983-02-04 00:00:00"
78, 76 ,"1947-11-18 00:00:00", "1955-06-23 00:00:00"
79, 77 ,"2002-06-22 00:00:00", "2010-08-09 00:00:00"
80, 78 ,"1980-11-10 00:00:00", "1984-05-22 00:00:00"
81, 79 ,"1928-04-25 00:00:00", "1931-11-15 00:00:00"
82, 80 ,"1953-07-02 00:00:00", "1954-03-09 00:00:00"
83, 81 ,"2001-05-17 00:00:00", "2001-05-11 00:00:00"
84, 82 ,"1970-12-10 00:00:00", "1977-08-18 00:00:00"
85, 83 ,"1968-04-24 00:00:00", "1972-12-16 00:00:00"
86, 84 ,"2004-06-05 00:00:00", "2005-11-05 00:00:00"
87, 84 ,"2015-02-17 00:00:00", "2023-07-01 00:00:00"
88, 85 ,"1988-01-20 00:00:00", "1993-01-04 00:00:00"
89, 86 ,"1947-03-11 00:00:00", "1949-04-26 00:00:00"
90, 87 ,"1961-02-08 00:00:00", "1967-05-08 00:00:00"
91, 88 ,"1974-03-08 00:00:00", "1978-01-05 00:00:00"
92, 89 ,"2008-07-28 00:00:00", "2018-08-06 00:00:00"
93, 90 ,"1974-09-13 00:00:00", "1982-07-16 00:00:00"
94, 91 ,"1937-06-13 00:00:00", "1946-05-24 00:00:00"
95, 92 ,"1986-04-01 00:00:00", "1993-08-15 00:00:00"
96, 93 ,"2022-04-11 00:00:00", "2027-08-25 00:00:00"
97, 94 ,"2005-10-24 00:00:00", "2008-09-02 00:00:00"
98, 95 ,"1981-04-15 00:00:00", "1982-09-16 00:00:00"
99, 96 ,"1981-02-10 00:00:00", "1986-12-19 00:00:00"
100, 97 ,"1928-11-06 00:00:00", "1933-07-26 00:00:00"
101, 98 ,"1993-09-30 00:00:00", "2002-03-16 00:00:00"
102, 99 ,"2007-09-29 00:00:00", "2013-08-01 00:00:00"
103, 99 ,"2017-09-05 00:00:00", "2022-12-04 00:00:00"
104, 100 ,"1960-03-19 00:00:00", "1966-11-26 00:00:00"
105, 101 ,"1954-05-22 00:00:00", "1957-03-20 00:00:00"
106, 102 ,"1959-03-28 00:00:00", "1965-09-11 00:00:00"
107, 103 ,"1951-12-16 00:00:00", "1961-09-20 00:00:00"
108, 104 ,"1995-11-25 00:00:00", "1999-09-12 00:00:00"
109, 105 ,"1947-01-16 00:00:00", "1949-05-14 00:00:00"
110, 106 ,"1968-09-16 00:00:00", "1973-06-09 00:00:00"
111, 107 ,"1908-11-28 00:00:00", "1918-12-23 00:00:00"
112, 108 ,"1976-01-27 00:00:00", "1976-12-24 00:00:00"
113, 109 ,"1954-06-20 00:00:00", "1958-12-27 00:00:00"
114, 110 ,"2001-11-01 00:00:00", "2005-07-23 00:00:00"
