"id", "name"
1 ,"United States"
2 ,"England"
3 ,"Spain"
4 ,"Netherlands"
5 ,"Canada"
6 ,"France"
7 ,"China"
8 ,"Italy"
9 ,"Japan"
10 ,"Germany"
11 ,"Mexico"
12 ,"Czech Republic"
13 ,"Ireland"
14 ,"Belgium"
15 ,"Bermuda"
16 ,"India"
17 ,"NEW ZEALAND ROTORUA WHAKAREWAREWA"
18 ,"Lisez et propagez nos Annales: "L'Immacul‚e""
19 ,"Scotland"
20 ,"Holland"
21 ,"Denmark"
22 ,"Wales"
23 ,"Portugal"
24 ,"Scotland or England"
25 ,"Switzerland"
26 ,"Russia"
27 ,"Peru"
28 ,"Turkey"
29 ,"Colombia"
30 ,"Malay"
31 ,"Sweden"
32 ,"probably Italy"
33 ,"possibly Switzerland"
34 ,"Austria"
35 ,"Poland"
36 ,"possibly France or Flanders"
37 ,"France or Flanders"
38 ,"possibly France"
39 ,"possibly England"
40 ,"Germany or Austria"
41 ,"possibly Italy"
42 ,"Iran"
43 ,"England and Germany"
44 ,"German"
45 ,"possibly Turkey"
46 ,"Egypt"
47 ,"possibly England or Flanders"
48 ,"possibly the Netherlands"
49 ,"possibly Spain"
50 ,"Italy or Flanders"
51 ,"probably France"
52 ,"probably Turkey"
53 ,"The Netherlands"
54 ,"possibly Austria"
55 ,"probably Netherlands"
56 ,"probably England"
57 ,"Central or Eastern Europe"
58 ,"probably Germany"
59 ,"Western Europe"
60 ,"England or Flanders"
61 ,"Possibly France"
62 ,"Hilt Japan"
63 ,"Northern India"
64 ,"France or England"
65 ,"possibly Germany"
66 ,"Probably France"
67 ,"Indonesia"
68 ,"Germany and Italy"
69 ,"Greece"
70 ,"probably Austria"
71 ,"Caucasia"
72 ,"Dagestan"
73 ,"Ottoman Empire"
74 ,"Pakistan"
75 ,"Korea"
76 ,"probably Iran"
77 ,"Tibet"
78 ,"Syria"
79 ,"South India"
80 ,"Philippines"
81 ,"Circassia"
82 ,"Cambodia"
83 ,"Cuba"
84 ,"possibly France or Bavaria"
85 ,"possibly Tibet"
86 ,"Mongolia"
87 ,"Caucasus"
88 ,"Burma"
89 ,"Sudan"
90 ,"India or Iran"
91 ,"Germany or France"
92 ,"Possibly Albania"
93 ,"Sri Lanka"
94 ,"United Kingdom"
